Sample,B,CD4 T,Endothelial,Epithelial,Immune,Macrophage,Mix,Monocytes,Neutrophils,Stromal,Unknown,doublet
11,-30.46440041,-22.44317116,-6.895087901,96.824551,,-7.155766191,-9.668892359,-11.5872405,-3.097498861,-9.587675645,,-1.085883396
11,,,,,,,,,,,,
11,-21.22299308,-7.218507505,1.967891557,-7.216199674,,27.43407163,-8.18905685,2.371675221,-1.533174044,3.081436357,,10.5996044
11,5.140353637,-9.748585403,-4.939903065,-9.513972416,,-8.202940383,29.96685775,-3.516452654,-2.756250901,-7.948690227,,1.798324936
11,-8.299477097,2.726771404,-5.394223536,-11.11725622,,3.129151724,-3.675614906,19.88127413,-2.973282291,-7.947023592,,3.15610908
11,-8.100676501,-5.872648233,9.494097724,-3.08769951,,-2.195145172,-2.719587116,-3.56169644,58.93774903,-2.96438756,,2.241134025
11,-18.1571497,-10.0498926,4.675933166,-9.948633792,,3.2236785,-7.849626004,-7.287140837,-2.60225402,63.93509263,,-4.297027479
11,,,,,,,,,,,,
11,-29.47500408,-21.21430064,6.933321152,-1.475226265,,11.59783805,1.584512111,3.595049954,3.468963818,0.50023645,,22.82584746
12,79.21815759,-47.71136526,-7.531706588,-22.12714876,-5.273369648,-7.765585568,5.433583759,-22.8181808,-3.76807766,-9.636985355,-19.60621634,-26.58964406
12,-46.89334756,93.3434647,-2.396442132,-14.85988959,3.302263116,-6.059025445,-3.496871238,-2.188481817,-1.63899458,-5.120105096,-8.281362358,-28.68644467
12,-7.336426019,-2.83924888,27.59106619,-2.065929571,-0.675533402,3.799544332,-0.712960707,-2.084395459,-0.307370149,-1.205132774,-1.880173141,3.000218045
12,-21.25107498,-14.66444516,-2.060897565,117.9829514,-1.953444141,3.954001998,-2.15638769,-12.32721684,-0.997580781,-1.916065904,-4.267632078,-8.879678514
12,-4.654556207,2.336677222,-0.668698966,-1.963322741,6.916422272,-1.126645333,-0.717794298,-0.12886885,-0.307966722,-1.118874037,3.033215694,2.172192111
12,-7.697151347,-5.896932064,4.630644179,2.970469411,-1.109585565,37.28363194,-0.327100072,-3.882123286,3.166241995,0.213788282,-3.006223544,3.639828902
